Transaction_ID,Vendor_Name,Award_Amount,Award_Agency,Award_Date,Award_Type,Performance_Country,Performance_State,Log_Award_Amount,Award_Agency_Code,Award_Type_Code,Performance_Country_Code,Performance_State_Code
TRX00047,Carroll Ltd,2318413.93,Department of Energy,2022-05-26,Cost-Reimbursement Contract,USA,FL,14.656394290313878,3,0,2,1
TRX00048,"Juarez, May and Sullivan",3856792.12,Department of Energy,2023-03-31,Cost-Reimbursement Contract,MEX,MI,15.16534659820969,3,0,1,3
TRX00049,Holt Inc,1833571.01,Department of Energy,2021-03-07,Time-and-Materials Contract,MEX,NY,14.42177654033369,3,3,1,5
TRX00050,"Hensley, Miller and Clark",4783514.41,Department of Transportation,2023-01-09,Indefinite Delivery Contract,USA,NY,15.38068627558571,5,2,2,5
TRX00051,Anderson-Gonzalez,2767974.55,NASA,2022-01-27,Time-and-Materials Contract,MEX,NC,14.8336267625882,6,3,1,4
TRX00052,"Gomez, Khan and Huerta",1532922.22,Department of Education,2023-06-16,Fixed-Price Contract,MEX,PA,14.242687071798622,2,1,1,7
TRX00053,Williams PLC,4905735.0,Department of Health and Human Services,2021-08-22,Time-and-Materials Contract,CAN,NC,15.40591569069348,4,3,0,4
TRX00054,Powell-Strickland,4061003.17,Department of Health and Human Services,2022-03-10,Time-and-Materials Contract,USA,CA,15.216940833508588,4,3,2,0
TRX00055,Lee PLC,4930899.15,NASA,2022-10-29,Fixed-Price Contract,CAN,PA,15.411032115558937,6,1,0,7
TRX00056,Garrett-Allen,2586388.89,Department of Defense,2022-12-21,Indefinite Delivery Contract,CAN,VA,14.765773596477585,1,2,0,9
TRX00057,Park-Powell,685271.39,Department of Education,2022-03-10,Fixed-Price Contract,MEX,MI,13.437571687837735,2,1,1,3
TRX00058,Rhodes-Cline,1280506.47,Department of Health and Human Services,2021-03-25,Cost-Reimbursement Contract,MEX,MI,14.062767018263429,4,0,1,3
TRX00059,"Chapman, Sutton and Davis",2136484.36,NASA,2021-04-25,Fixed-Price Contract,USA,TX,14.574672681714164,6,1,2,8
TRX00060,"Stephens, Bruce and Cardenas",4913919.96,Department of Health and Human Services,2022-11-28,Time-and-Materials Contract,USA,OH,15.407582747277818,4,3,2,6
TRX00061,"Moody, Johnson and Walker",1091698.39,Department of Energy,2023-05-08,Cost-Reimbursement Contract,CAN,GA,13.90324611350664,3,0,0,2
TRX00062,Jimenez-Keller,4920050.33,Department of Education,2021-03-16,Cost-Reimbursement Contract,CAN,VA,15.408829521340898,2,0,0,9
TRX00063,Berry-Rivers,4519424.15,Department of Education,2022-06-29,Indefinite Delivery Contract,MEX,CA,15.323895364516913,2,2,1,0
TRX00064,"Simpson, Hawkins and Cooke",2139445.51,Department of Transportation,2023-11-07,Indefinite Delivery Contract,MEX,PA,14.576057713357978,5,2,1,7
TRX00065,Roberts Group,3008506.12,Department of Agriculture,2021-02-14,Fixed-Price Contract,CAN,PA,14.91695454026763,0,1,0,7
TRX00066,Madden-Leblanc,3911700.29,Department of Transportation,2024-01-20,Fixed-Price Contract,MEX,VA,15.17948294985951,5,1,1,9
TRX00067,Willis Group,2550821.84,Department of Agriculture,2023-07-18,Time-and-Materials Contract,CAN,NY,14.751926547436797,0,3,0,5
TRX00068,Snyder and Sons,3079778.89,Department of Energy,2021-11-03,Fixed-Price Contract,USA,MI,14.940368688110349,3,1,2,3
TRX00069,Singh-Robinson,4694850.81,Department of Agriculture,2023-01-03,Fixed-Price Contract,USA,NC,15.361977106761085,0,1,2,4
TRX00070,Gray Group,3416276.6,Department of Education,2021-02-24,Fixed-Price Contract,USA,GA,15.044062095225808,2,1,2,2
TRX00071,Murray PLC,4486741.36,Department of Agriculture,2022-11-01,Time-and-Materials Contract,CAN,VA,15.31663746409852,0,3,0,9
TRX00072,Henderson-Ortega,261447.91,Department of Defense,2023-05-11,Indefinite Delivery Contract,CAN,TX,12.473994170550405,1,2,0,8
TRX00073,Carter LLC,2846139.26,NASA,2022-09-16,Indefinite Delivery Contract,CAN,NY,14.861474339622054,6,2,0,5
TRX00074,"Giles, Hoover and Spencer",1022506.02,Department of Education,2021-03-11,Cost-Reimbursement Contract,USA,GA,13.837768032401199,2,0,2,2
TRX00075,"Hobbs, Johnson and Nguyen",468904.06,Department of Transportation,2023-06-15,Indefinite Delivery Contract,CAN,OH,13.05815559623293,5,2,0,6
TRX00076,"Mcdaniel, Riddle and Cunningham",2631820.93,Department of Health and Human Services,2023-05-05,Cost-Reimbursement Contract,USA,GA,14.783186913363513,4,0,2,2
TRX00077,"Wolfe, Mckinney and Boyer",2771690.24,Department of Agriculture,2022-01-24,Fixed-Price Contract,MEX,CA,14.834968247806744,0,1,1,0
TRX00078,Phillips Ltd,3290155.33,Department of Energy,2021-03-26,Fixed-Price Contract,MEX,VA,15.006445638329996,3,1,1,9
TRX00079,"Brooks, Carter and Johnson",438319.08,Department of Transportation,2022-10-31,Cost-Reimbursement Contract,CAN,NC,12.990704698727338,5,0,0,4
TRX00080,Sanders and Sons,2165064.32,Department of Agriculture,2022-10-31,Indefinite Delivery Contract,CAN,GA,14.587961089864288,0,2,0,2
TRX00081,"Lee, Pugh and Burgess",3689483.18,Department of Transportation,2021-08-14,Fixed-Price Contract,CAN,NC,15.120997217627485,5,1,0,4
TRX00082,Ballard-Davis,2858514.69,Department of Agriculture,2021-04-08,Time-and-Materials Contract,USA,VA,14.865813058563875,0,3,2,9
TRX00083,Taylor-Brown,4897501.61,Department of Agriculture,2021-11-25,Fixed-Price Contract,CAN,NY,15.404235961725652,0,1,0,5
TRX00084,Rodriguez Inc,3453456.7,Department of Defense,2024-01-11,Fixed-Price Contract,USA,OH,15.054886518992545,1,1,2,6
TRX00085,Lloyd Group,3528631.06,Department of Defense,2023-06-11,Cost-Reimbursement Contract,USA,FL,15.076420835391218,1,0,2,1
TRX00086,Duffy Group,3423736.17,Department of Health and Human Services,2023-11-20,Time-and-Materials Contract,MEX,CA,15.046243252199355,4,3,1,0
TRX00087,"Castillo, Roth and Allen",4383893.09,Department of Education,2023-03-06,Indefinite Delivery Contract,MEX,CA,15.293447949015253,2,2,1,0
TRX00088,"Rowe, Wilson and Moreno",957853.9,Department of Transportation,2024-01-22,Cost-Reimbursement Contract,USA,MI,13.772451584103694,5,0,2,3
TRX00089,Young-Crane,333610.05,Department of Energy,2024-01-28,Indefinite Delivery Contract,MEX,VA,12.717731072419356,3,2,1,9
TRX00090,Hunt-Jimenez,4354181.79,Department of Defense,2022-11-28,Cost-Reimbursement Contract,MEX,NC,15.286647501980845,1,0,1,4
TRX00091,"Norman, Brooks and Hunt",835840.35,Department of Defense,2022-01-18,Cost-Reimbursement Contract,MEX,TX,13.636194101330444,1,0,1,8
TRX00092,"Taylor, Garcia and Mitchell",1319945.02,Department of Agriculture,2023-07-03,Fixed-Price Contract,MEX,CA,14.09310139978698,0,1,1,0
TRX00093,Wheeler-Hall,2146441.96,Department of Agriculture,2022-06-10,Cost-Reimbursement Contract,USA,FL,14.57932259280194,0,0,2,1
TRX00094,"Jordan, Jones and Smith",1389519.68,Department of Energy,2023-06-11,Cost-Reimbursement Contract,USA,NC,14.144469411105401,3,0,2,4
TRX00095,"Charles, Williams and Smith",4767029.52,Department of Health and Human Services,2022-08-23,Cost-Reimbursement Contract,USA,VA,15.377234136515954,4,0,2,9
TRX00096,"Knapp, Wilson and Ramos",1398903.12,Department of Education,2022-07-21,Indefinite Delivery Contract,MEX,MI,14.15119971663139,2,2,1,3
TRX00097,"Aguilar, Hayes and Morrow",1170182.67,Department of Defense,2021-10-16,Fixed-Price Contract,MEX,CA,13.972671277359394,1,1,1,0
TRX00098,Jarvis PLC,4054086.31,Department of Health and Human Services,2022-03-17,Time-and-Materials Contract,USA,MI,15.215236142515993,4,3,2,3
TRX00099,Johnson-Santiago,3324341.71,Department of Health and Human Services,2021-05-18,Indefinite Delivery Contract,MEX,NY,15.01678253132758,4,2,1,5
TRX00100,Hernandez-Martin,996549.19,Department of Health and Human Services,2023-04-28,Indefinite Delivery Contract,USA,PA,13.812054783648636,4,2,2,7
TRX00101,"Williams, Rodriguez and Weiss",835602.17,Department of Education,2021-09-15,Indefinite Delivery Contract,USA,VA,13.63590910233854,2,2,2,9
TRX00102,"Woods, Barnes and Hill",928705.55,Department of Transportation,2022-08-14,Indefinite Delivery Contract,MEX,PA,13.74154809060883,5,2,1,7
TRX00103,Dunn-Byrd,1684105.2,Department of Agriculture,2022-06-30,Cost-Reimbursement Contract,USA,NC,14.336745535928967,0,0,2,4
TRX00104,Washington-Humphrey,3517768.48,Department of Transportation,2023-07-17,Indefinite Delivery Contract,USA,VA,15.073337676265757,5,2,2,9
TRX00105,Lowe-Miranda,1416645.81,Department of Defense,2022-03-17,Cost-Reimbursement Contract,MEX,CA,14.16380323566367,1,0,1,0
TRX00106,Wilson-Caldwell,2193834.64,Department of Education,2023-12-16,Indefinite Delivery Contract,USA,FL,14.601162003610982,2,2,2,1
TRX00107,Joseph-Bennett,191017.97,Department of Defense,2021-05-16,Fixed-Price Contract,CAN,CA,12.160128021468653,1,1,0,0
TRX00108,"Mitchell, Hall and Duncan",2705973.18,Department of Education,2023-12-22,Cost-Reimbursement Contract,CAN,OH,14.810972545908294,2,0,0,6
TRX00109,"Smith, Brooks and Rodriguez",2847752.8,Department of Agriculture,2023-04-20,Indefinite Delivery Contract,MEX,TX,14.862041101148066,0,2,1,8
TRX00110,Greene Group,1307238.52,Department of Health and Human Services,2021-11-07,Indefinite Delivery Contract,CAN,OH,14.08342823518902,4,2,0,6
TRX00111,Middleton LLC,1829618.55,Department of Agriculture,2022-03-24,Cost-Reimbursement Contract,USA,TX,14.419618607029335,0,0,2,8
TRX00112,Martinez Group,2940407.29,Department of Agriculture,2022-04-28,Fixed-Price Contract,MEX,OH,14.894059003822402,0,1,1,6
TRX00113,Davidson-Williams,899902.97,Department of Energy,2023-08-22,Cost-Reimbursement Contract,USA,MI,13.710043336613598,3,0,2,3
TRX00114,Hayes-Bowers,2959389.75,Department of Health and Human Services,2022-12-08,Cost-Reimbursement Contract,MEX,CA,14.900493977412111,4,0,1,0
TRX00115,Brown and Sons,1191041.4,Department of Energy,2023-03-17,Time-and-Materials Contract,MEX,FL,13.990339448039613,3,3,1,1
TRX00116,Nelson PLC,3798595.99,Department of Transportation,2021-11-02,Time-and-Materials Contract,USA,VA,15.15014234336276,5,3,2,9
TRX00117,Roberts Group,3318993.69,Department of Defense,2021-05-05,Time-and-Materials Contract,CAN,NC,15.01517249082135,1,3,0,4
TRX00118,White-Williamson,348624.02,Department of Defense,2024-03-05,Fixed-Price Contract,USA,TX,12.761752182298022,1,1,2,8
TRX00119,Peterson LLC,1317773.44,Department of Agriculture,2021-05-01,Time-and-Materials Contract,USA,NC,14.091454841310783,0,3,2,4
TRX00120,"Crawford, Wu and Rodriguez",3738127.39,Department of Agriculture,2022-04-28,Time-and-Materials Contract,MEX,VA,15.134095613652308,0,3,1,9
TRX00121,Lewis-Garcia,2804966.28,Department of Education,2022-10-26,Cost-Reimbursement Contract,CAN,TX,14.846902431986763,2,0,0,8
TRX00122,Bentley LLC,4300176.76,NASA,2021-03-09,Fixed-Price Contract,USA,VA,15.27416691934422,6,1,2,9
TRX00123,Estrada-Lowery,3778979.18,NASA,2023-11-13,Fixed-Price Contract,MEX,CA,15.144964737544122,6,1,1,0
TRX00124,Ford-Harris,3984081.88,Department of Transportation,2022-05-17,Time-and-Materials Contract,CAN,NC,15.197817700683093,5,3,0,4
TRX00125,Tapia Ltd,4553641.68,Department of Health and Human Services,2021-05-04,Indefinite Delivery Contract,USA,NY,15.331438059637682,4,2,2,5
TRX00126,"Fowler, Patton and Thomas",490133.06,Department of Health and Human Services,2021-02-14,Cost-Reimbursement Contract,USA,FL,13.102434224504123,4,0,2,1
TRX00127,Garner Inc,4474832.88,Department of Education,2022-03-23,Fixed-Price Contract,USA,FL,15.313979787214352,2,1,2,1
TRX00128,"Murphy, Reyes and Alexander",474658.52,Department of Agriculture,2023-03-04,Cost-Reimbursement Contract,MEX,CA,13.070353025992828,0,0,1,0
TRX00129,Mason Group,719029.1,Department of Health and Human Services,2022-01-13,Indefinite Delivery Contract,MEX,OH,13.485658499526506,4,2,1,6
TRX00130,"Randall, Jacobs and Powell",3381109.37,Department of Transportation,2022-08-27,Time-and-Materials Contract,CAN,NY,15.033714725345323,5,3,0,5
TRX00131,Bright PLC,2349079.24,Department of Transportation,2021-05-29,Time-and-Materials Contract,USA,NY,14.669534422274324,5,3,2,5
TRX00132,Moore Ltd,3836464.49,Department of Defense,2021-01-25,Fixed-Price Contract,MEX,NY,15.160062055381504,1,1,1,5
TRX00133,Nolan and Sons,1997308.87,Department of Defense,2021-08-31,Indefinite Delivery Contract,MEX,MI,14.50731176811231,1,2,1,3
TRX00134,Grant-Floyd,145846.63,Department of Agriculture,2021-04-27,Cost-Reimbursement Contract,MEX,OH,11.890317725592364,0,0,1,6
TRX00135,Underwood-Abbott,1608491.22,Department of Education,2021-07-08,Indefinite Delivery Contract,USA,GA,14.290807788845045,2,2,2,2
TRX00136,Hickman-Schneider,1256172.88,Department of Agriculture,2024-02-25,Fixed-Price Contract,USA,VA,14.043581055918866,0,1,2,9
TRX00137,"Black, Cook and Robinson",2354704.13,Department of Energy,2023-08-21,Fixed-Price Contract,MEX,MI,14.671926067402122,3,1,1,3
TRX00138,"Lee, Harmon and Perkins",4358314.4,Department of Agriculture,2023-09-05,Indefinite Delivery Contract,MEX,VA,15.287596164515932,0,2,1,9
TRX00139,Jones-Thompson,4411933.65,Department of Health and Human Services,2022-08-25,Time-and-Materials Contract,USA,NC,15.299823847369133,4,3,2,4
TRX00140,Weber-Brooks,2575610.72,Department of Defense,2021-07-02,Cost-Reimbursement Contract,MEX,NC,14.761597625031836,1,0,1,4
TRX00141,"Johnson, Russo and Snyder",1151537.74,Department of Defense,2023-07-09,Indefinite Delivery Contract,CAN,PA,13.956609640751212,1,2,0,7
TRX00142,Nelson-Armstrong,3132890.0,Department of Education,2023-01-22,Time-and-Materials Contract,MEX,OH,14.957466778393904,2,3,1,6
TRX00143,Tucker Group,2482154.25,NASA,2021-05-17,Indefinite Delivery Contract,CAN,OH,14.724637793153107,6,2,0,6
TRX00144,"Reynolds, Perez and Warren",2436657.12,NASA,2022-03-17,Indefinite Delivery Contract,CAN,NY,14.70613803552776,6,2,0,5
TRX00145,Nichols-Matthews,2756353.76,Department of Health and Human Services,2023-06-28,Indefinite Delivery Contract,MEX,MI,14.829419625618266,4,2,1,3
TRX00146,"Shelton, Zimmerman and Kidd",1077449.85,Department of Transportation,2024-01-11,Indefinite Delivery Contract,CAN,PA,13.890108485070463,5,2,0,7
TRX00147,Vasquez-Foster,2254178.31,Department of Agriculture,2022-04-11,Fixed-Price Contract,USA,CA,14.628296522325494,0,1,2,0
TRX00148,Martinez-Barnes,4915605.91,Department of Energy,2023-04-11,Time-and-Materials Contract,MEX,PA,15.407925785120291,3,3,1,7
TRX00149,Santiago LLC,2978116.85,Department of Transportation,2021-08-01,Cost-Reimbursement Contract,MEX,PA,14.906802064982367,5,0,1,7
TRX00150,"Reynolds, Pope and Keith",996514.81,Department of Health and Human Services,2022-06-29,Fixed-Price Contract,USA,PA,13.812020284038484,4,1,2,7
TRX00151,Rivers-Morales,3452545.42,Department of Defense,2021-03-13,Indefinite Delivery Contract,MEX,OH,15.054622609504667,1,2,1,6
TRX00152,Garcia Group,4151172.75,NASA,2023-12-01,Fixed-Price Contract,USA,PA,15.238901683542943,6,1,2,7
TRX00153,"King, Hernandez and Duncan",4581040.6,Department of Health and Human Services,2021-08-25,Time-and-Materials Contract,MEX,CA,15.337436953814331,4,3,1,0
TRX00154,Anderson PLC,2181398.38,Department of Defense,2022-07-24,Time-and-Materials Contract,CAN,NC,14.595477146255597,1,3,0,4
TRX00155,Kim PLC,3919763.86,Department of Energy,2023-07-26,Time-and-Materials Contract,USA,VA,15.181542225273613,3,3,2,9
TRX00156,"Nicholson, Cervantes and Carter",4053493.04,Department of Defense,2023-12-07,Cost-Reimbursement Contract,MEX,FL,15.215089793074538,1,0,1,1
TRX00157,"Thompson, Montoya and Medina",460529.39,Department of Education,2024-01-17,Indefinite Delivery Contract,MEX,OH,13.040134125985366,2,2,1,6
TRX00158,Lee Inc,2275794.84,Department of Agriculture,2022-07-31,Time-and-Materials Contract,USA,OH,14.637840368974734,0,3,2,6
TRX00159,Jordan-Cooper,769412.54,Department of Health and Human Services,2021-09-20,Fixed-Price Contract,USA,PA,13.553383867273899,4,1,2,7
TRX00160,Brown-Brown,1399291.39,Department of Defense,2024-02-03,Fixed-Price Contract,MEX,OH,14.151477231095514,1,1,1,6
TRX00161,Williams-Mcbride,1103268.38,Department of Defense,2022-01-13,Cost-Reimbursement Contract,MEX,MI,13.913788493258949,1,0,1,3
TRX00162,Ellis-Bowman,906384.86,Department of Education,2021-02-06,Cost-Reimbursement Contract,MEX,TX,13.717220388397728,2,0,1,8
TRX00163,"Hall, Leonard and Mcguire",691602.45,NASA,2023-08-11,Cost-Reimbursement Contract,CAN,PA,13.44676802121145,6,0,0,7
TRX00164,Bennett-Robinson,2946581.74,Department of Energy,2022-10-05,Cost-Reimbursement Contract,USA,FL,14.896156663639648,3,0,2,1
TRX00165,"Davis, Murphy and Rivera",4498736.31,Department of Education,2021-04-30,Time-and-Materials Contract,CAN,GA,15.319307317587848,2,3,0,2
TRX00166,Jones Inc,3609568.99,Department of Transportation,2022-08-12,Indefinite Delivery Contract,USA,NC,15.099099206870658,5,2,2,4
TRX00167,Johnson-Elliott,2518487.45,Department of Agriculture,2021-04-20,Fixed-Price Contract,USA,PA,14.739169458094194,0,1,2,7
TRX00168,Hampton-Jackson,1898125.65,Department of Defense,2021-08-17,Cost-Reimbursement Contract,USA,CA,14.456377984060666,1,0,2,0
TRX00169,Daniel-Wilcox,462846.01,NASA,2022-06-17,Time-and-Materials Contract,CAN,NC,13.045151846498257,6,3,0,4
TRX00170,Mcpherson-Clark,1914756.97,Department of Agriculture,2023-08-02,Time-and-Materials Contract,CAN,CA,14.46510178618647,0,3,0,0
TRX00171,Harvey-Lambert,4603888.5,Department of Health and Human Services,2022-12-16,Fixed-Price Contract,USA,FL,15.342412047667075,4,1,2,1
TRX00172,Taylor LLC,990324.98,Department of Defense,2023-12-21,Cost-Reimbursement Contract,MEX,OH,13.805789440639678,1,0,1,6
TRX00173,"Vaughan, Williams and Payne",318433.97,Department of Energy,2023-12-23,Cost-Reimbursement Contract,CAN,MI,12.671173557323458,3,0,0,3
TRX00174,Nelson-Nguyen,1245065.17,Department of Transportation,2022-10-01,Indefinite Delivery Contract,USA,CA,14.034699235062986,5,2,2,0
TRX00175,Jenkins-Smith,2520857.55,NASA,2024-03-26,Indefinite Delivery Contract,USA,TX,14.740110095908877,6,2,2,8
TRX00176,Hicks Ltd,2612933.55,Department of Defense,2021-04-12,Cost-Reimbursement Contract,MEX,FL,14.775984496351313,1,0,1,1
TRX00177,Hall-Miller,2231394.34,Department of Agriculture,2023-05-14,Fixed-Price Contract,USA,NC,14.618137660764024,0,1,2,4
TRX00178,"Weeks, Howell and Miles",646993.61,Department of Education,2022-08-29,Time-and-Materials Contract,USA,NC,13.380093242690995,2,3,2,4
TRX00179,"Kennedy, Cline and Byrd",3581205.65,Department of Education,2022-02-12,Cost-Reimbursement Contract,MEX,MI,15.091210354659882,2,0,1,3
TRX00180,Combs Ltd,3707639.56,NASA,2022-06-02,Cost-Reimbursement Contract,MEX,FL,15.125906264615422,6,0,1,1
TRX00181,"Fowler, Erickson and Maynard",4830313.86,Department of Transportation,2022-03-01,Indefinite Delivery Contract,USA,OH,15.39042221190988,5,2,2,6
TRX00182,"Mitchell, Jennings and Padilla",2790324.23,Department of Agriculture,2021-07-29,Cost-Reimbursement Contract,USA,MI,14.84166871689628,0,0,2,3
TRX00183,Garcia Group,1736164.85,NASA,2021-02-12,Indefinite Delivery Contract,CAN,VA,14.367189705353473,6,2,0,9
TRX00184,"Howard, Mitchell and Green",92835.25,Department of Agriculture,2024-01-20,Cost-Reimbursement Contract,CAN,VA,11.438592467500209,0,0,0,9
TRX00185,"Morris, Bailey and Fox",70662.89,Department of Agriculture,2021-08-27,Fixed-Price Contract,MEX,NY,11.16568997176124,0,1,1,5
TRX00186,Green Ltd,190175.23,Department of Education,2021-02-17,Fixed-Price Contract,USA,NY,12.15570644757168,2,1,2,5
TRX00187,Garcia-Knight,4731521.81,NASA,2022-07-31,Time-and-Materials Contract,USA,PA,15.36975765580013,6,3,2,7
TRX00188,Vasquez-Green,2580493.97,Department of Defense,2022-02-21,Fixed-Price Contract,CAN,OH,14.763491787334376,1,1,0,6
TRX00189,"Powers, Colon and Woodard",1771733.11,Department of Transportation,2024-01-24,Time-and-Materials Contract,USA,GA,14.38746934809835,5,3,2,2
TRX00190,Ward Ltd,402095.03,NASA,2022-08-03,Cost-Reimbursement Contract,USA,TX,12.904446219670746,6,0,2,8
