Transaction_ID,Vendor_Name,Award_Amount,Award_Agency,Award_Date,Award_Type,Performance_Country,Performance_State
TRX00022,Warren-Jackson,1620369.84,Department of Agriculture,2023-12-08,Time-and-Materials Contract,CAN,MI
TRX00023,"Montgomery, Allen and Woods",2290034.91,NASA,2021-10-19,Fixed-Price Contract,CAN,NY
TRX00024,Khan-Webb,237423.99,Department of Agriculture,2024-03-21,Time-and-Materials Contract,USA,NY
TRX00025,Carter LLC,419272.73,Department of Health and Human Services,2021-08-12,Fixed-Price Contract,CAN,NC
TRX00026,Cole-Hanson,2807611.31,Department of Agriculture,2023-11-24,Indefinite Delivery Contract,USA,MI
TRX00027,"Marquez, Strickland and York",3154101.39,Department of Energy,2023-05-06,Fixed-Price Contract,CAN,NY
TRX00028,Lopez-Brennan,3173261.46,Department of Transportation,2022-11-06,Fixed-Price Contract,MEX,NC
TRX00029,Lee-Flores,678519.71,Department of Education,2021-03-21,Time-and-Materials Contract,MEX,FL
TRX00030,Moore PLC,2929300.4,NASA,2021-04-14,Time-and-Materials Contract,MEX,CA
TRX00031,"Mckenzie, Clark and White",3464484.58,NASA,2023-06-24,Cost-Reimbursement Contract,MEX,PA
TRX00032,Griffith LLC,4256613.84,Department of Education,2023-06-29,Time-and-Materials Contract,CAN,VA
TRX00033,Cohen and Sons,2301001.67,Department of Transportation,2022-02-09,Fixed-Price Contract,MEX,TX
TRX00034,Wilkins-Esparza,1420322.51,NASA,2023-11-17,Cost-Reimbursement Contract,CAN,VA
TRX00035,"Payne, Mills and Mccoy",3760779.46,Department of Transportation,2021-10-30,Fixed-Price Contract,MEX,NC
TRX00036,"Harris, Ritter and Cardenas",630084.28,Department of Defense,2021-03-12,Time-and-Materials Contract,MEX,PA
TRX00037,"Lopez, Mckinney and Phillips",981292.29,Department of Education,2021-06-16,Indefinite Delivery Contract,USA,PA
TRX00038,Perry Ltd,4926943.34,Department of Agriculture,2023-01-29,Time-and-Materials Contract,MEX,NY
TRX00039,Wilson Inc,4248926.04,Department of Energy,2022-06-04,Indefinite Delivery Contract,USA,FL
TRX00040,Hall and Sons,2036626.89,Department of Defense,2022-03-05,Cost-Reimbursement Contract,USA,PA
TRX00041,"Harris, Gray and Cooper",3542141.22,Department of Transportation,2021-08-05,Fixed-Price Contract,USA,CA
TRX00042,Garner-Rodriguez,3698445.44,Department of Energy,2022-02-28,Time-and-Materials Contract,USA,VA
TRX00043,Johnson-Miller,417009.63,Department of Health and Human Services,2024-03-22,Time-and-Materials Contract,USA,VA
TRX00044,Martinez Ltd,822445.64,Department of Energy,2024-02-26,Time-and-Materials Contract,CAN,MI
TRX00045,Pearson-Chan,149179.18,Department of Defense,2023-07-02,Cost-Reimbursement Contract,USA,MI
TRX00046,White-Barber,4559718.67,Department of Agriculture,2022-09-24,Fixed-Price Contract,MEX,MI
TRX00047,Carroll Ltd,2318413.93,Department of Energy,2022-05-26,Cost-Reimbursement Contract,USA,FL
TRX00048,"Juarez, May and Sullivan",3856792.12,Department of Energy,2023-03-31,Cost-Reimbursement Contract,MEX,MI
TRX00049,Holt Inc,1833571.01,Department of Energy,2021-03-07,Time-and-Materials Contract,MEX,NY
TRX00050,"Hensley, Miller and Clark",4783514.41,Department of Transportation,2023-01-09,Indefinite Delivery Contract,USA,NY
TRX00051,Anderson-Gonzalez,2767974.55,NASA,2022-01-27,Time-and-Materials Contract,MEX,NC
TRX00052,"Gomez, Khan and Huerta",1532922.22,Department of Education,2023-06-16,Fixed-Price Contract,MEX,PA
TRX00053,Williams PLC,4905735.0,Department of Health and Human Services,2021-08-22,Time-and-Materials Contract,CAN,NC
TRX00054,Powell-Strickland,4061003.17,Department of Health and Human Services,2022-03-10,Time-and-Materials Contract,USA,CA
TRX00055,Lee PLC,4930899.15,NASA,2022-10-29,Fixed-Price Contract,CAN,PA
TRX00056,Garrett-Allen,2586388.89,Department of Defense,2022-12-21,Indefinite Delivery Contract,CAN,VA
TRX00057,Park-Powell,685271.39,Department of Education,2022-03-10,Fixed-Price Contract,MEX,MI
TRX00058,Rhodes-Cline,1280506.47,Department of Health and Human Services,2021-03-25,Cost-Reimbursement Contract,MEX,MI
TRX00059,"Chapman, Sutton and Davis",2136484.36,NASA,2021-04-25,Fixed-Price Contract,USA,TX
TRX00060,"Stephens, Bruce and Cardenas",4913919.96,Department of Health and Human Services,2022-11-28,Time-and-Materials Contract,USA,OH
TRX00061,"Moody, Johnson and Walker",1091698.39,Department of Energy,2023-05-08,Cost-Reimbursement Contract,CAN,GA
TRX00062,Jimenez-Keller,4920050.33,Department of Education,2021-03-16,Cost-Reimbursement Contract,CAN,VA
TRX00063,Berry-Rivers,4519424.15,Department of Education,2022-06-29,Indefinite Delivery Contract,MEX,CA
TRX00064,"Simpson, Hawkins and Cooke",2139445.51,Department of Transportation,2023-11-07,Indefinite Delivery Contract,MEX,PA
TRX00065,Roberts Group,3008506.12,Department of Agriculture,2021-02-14,Fixed-Price Contract,CAN,PA
TRX00066,Madden-Leblanc,3911700.29,Department of Transportation,2024-01-20,Fixed-Price Contract,MEX,VA
TRX00067,Willis Group,2550821.84,Department of Agriculture,2023-07-18,Time-and-Materials Contract,CAN,NY
TRX00068,Snyder and Sons,3079778.89,Department of Energy,2021-11-03,Fixed-Price Contract,USA,MI
TRX00069,Singh-Robinson,4694850.81,Department of Agriculture,2023-01-03,Fixed-Price Contract,USA,NC
TRX00070,Gray Group,3416276.6,Department of Education,2021-02-24,Fixed-Price Contract,USA,GA
TRX00071,Murray PLC,4486741.36,Department of Agriculture,2022-11-01,Time-and-Materials Contract,CAN,VA
TRX00072,Henderson-Ortega,261447.91,Department of Defense,2023-05-11,Indefinite Delivery Contract,CAN,TX
TRX00073,Carter LLC,2846139.26,NASA,2022-09-16,Indefinite Delivery Contract,CAN,NY
TRX00074,"Giles, Hoover and Spencer",1022506.02,Department of Education,2021-03-11,Cost-Reimbursement Contract,USA,GA
TRX00075,"Hobbs, Johnson and Nguyen",468904.06,Department of Transportation,2023-06-15,Indefinite Delivery Contract,CAN,OH
TRX00076,"Mcdaniel, Riddle and Cunningham",2631820.93,Department of Health and Human Services,2023-05-05,Cost-Reimbursement Contract,USA,GA
TRX00077,"Wolfe, Mckinney and Boyer",2771690.24,Department of Agriculture,2022-01-24,Fixed-Price Contract,MEX,CA
TRX00078,Phillips Ltd,3290155.33,Department of Energy,2021-03-26,Fixed-Price Contract,MEX,VA
TRX00079,"Brooks, Carter and Johnson",438319.08,Department of Transportation,2022-10-31,Cost-Reimbursement Contract,CAN,NC
TRX00080,Sanders and Sons,2165064.32,Department of Agriculture,2022-10-31,Indefinite Delivery Contract,CAN,GA
TRX00081,"Lee, Pugh and Burgess",3689483.18,Department of Transportation,2021-08-14,Fixed-Price Contract,CAN,NC
TRX00082,Ballard-Davis,2858514.69,Department of Agriculture,2021-04-08,Time-and-Materials Contract,USA,VA
TRX00083,Taylor-Brown,4897501.61,Department of Agriculture,2021-11-25,Fixed-Price Contract,CAN,NY
TRX00084,Rodriguez Inc,3453456.7,Department of Defense,2024-01-11,Fixed-Price Contract,USA,OH
TRX00085,Lloyd Group,3528631.06,Department of Defense,2023-06-11,Cost-Reimbursement Contract,USA,FL
TRX00086,Duffy Group,3423736.17,Department of Health and Human Services,2023-11-20,Time-and-Materials Contract,MEX,CA
TRX00087,"Castillo, Roth and Allen",4383893.09,Department of Education,2023-03-06,Indefinite Delivery Contract,MEX,CA
TRX00088,"Rowe, Wilson and Moreno",957853.9,Department of Transportation,2024-01-22,Cost-Reimbursement Contract,USA,MI
TRX00089,Young-Crane,333610.05,Department of Energy,2024-01-28,Indefinite Delivery Contract,MEX,VA
TRX00090,Hunt-Jimenez,4354181.79,Department of Defense,2022-11-28,Cost-Reimbursement Contract,MEX,NC
TRX00091,"Norman, Brooks and Hunt",835840.35,Department of Defense,2022-01-18,Cost-Reimbursement Contract,MEX,TX
TRX00092,"Taylor, Garcia and Mitchell",1319945.02,Department of Agriculture,2023-07-03,Fixed-Price Contract,MEX,CA
TRX00093,Wheeler-Hall,2146441.96,Department of Agriculture,2022-06-10,Cost-Reimbursement Contract,USA,FL
TRX00094,"Jordan, Jones and Smith",1389519.68,Department of Energy,2023-06-11,Cost-Reimbursement Contract,USA,NC
TRX00095,"Charles, Williams and Smith",4767029.52,Department of Health and Human Services,2022-08-23,Cost-Reimbursement Contract,USA,VA
TRX00096,"Knapp, Wilson and Ramos",1398903.12,Department of Education,2022-07-21,Indefinite Delivery Contract,MEX,MI
TRX00097,"Aguilar, Hayes and Morrow",1170182.67,Department of Defense,2021-10-16,Fixed-Price Contract,MEX,CA
TRX00098,Jarvis PLC,4054086.31,Department of Health and Human Services,2022-03-17,Time-and-Materials Contract,USA,MI
TRX00099,Johnson-Santiago,3324341.71,Department of Health and Human Services,2021-05-18,Indefinite Delivery Contract,MEX,NY
TRX00100,Hernandez-Martin,996549.19,Department of Health and Human Services,2023-04-28,Indefinite Delivery Contract,USA,PA
TRX00101,"Williams, Rodriguez and Weiss",835602.17,Department of Education,2021-09-15,Indefinite Delivery Contract,USA,VA
TRX00102,"Woods, Barnes and Hill",928705.55,Department of Transportation,2022-08-14,Indefinite Delivery Contract,MEX,PA
TRX00103,Dunn-Byrd,1684105.2,Department of Agriculture,2022-06-30,Cost-Reimbursement Contract,USA,NC
TRX00104,Washington-Humphrey,3517768.48,Department of Transportation,2023-07-17,Indefinite Delivery Contract,USA,VA
TRX00105,Lowe-Miranda,1416645.81,Department of Defense,2022-03-17,Cost-Reimbursement Contract,MEX,CA
TRX00106,Wilson-Caldwell,2193834.64,Department of Education,2023-12-16,Indefinite Delivery Contract,USA,FL
TRX00107,Joseph-Bennett,191017.97,Department of Defense,2021-05-16,Fixed-Price Contract,CAN,CA
TRX00108,"Mitchell, Hall and Duncan",2705973.18,Department of Education,2023-12-22,Cost-Reimbursement Contract,CAN,OH
TRX00109,"Smith, Brooks and Rodriguez",2847752.8,Department of Agriculture,2023-04-20,Indefinite Delivery Contract,MEX,TX
TRX00110,Greene Group,1307238.52,Department of Health and Human Services,2021-11-07,Indefinite Delivery Contract,CAN,OH
TRX00111,Middleton LLC,1829618.55,Department of Agriculture,2022-03-24,Cost-Reimbursement Contract,USA,TX
TRX00112,Martinez Group,2940407.29,Department of Agriculture,2022-04-28,Fixed-Price Contract,MEX,OH
TRX00113,Davidson-Williams,899902.97,Department of Energy,2023-08-22,Cost-Reimbursement Contract,USA,MI
TRX00114,Hayes-Bowers,2959389.75,Department of Health and Human Services,2022-12-08,Cost-Reimbursement Contract,MEX,CA
TRX00115,Brown and Sons,1191041.4,Department of Energy,2023-03-17,Time-and-Materials Contract,MEX,FL
TRX00116,Nelson PLC,3798595.99,Department of Transportation,2021-11-02,Time-and-Materials Contract,USA,VA
TRX00117,Roberts Group,3318993.69,Department of Defense,2021-05-05,Time-and-Materials Contract,CAN,NC
TRX00118,White-Williamson,348624.02,Department of Defense,2024-03-05,Fixed-Price Contract,USA,TX
TRX00119,Peterson LLC,1317773.44,Department of Agriculture,2021-05-01,Time-and-Materials Contract,USA,NC
TRX00120,"Crawford, Wu and Rodriguez",3738127.39,Department of Agriculture,2022-04-28,Time-and-Materials Contract,MEX,VA
TRX00121,Lewis-Garcia,2804966.28,Department of Education,2022-10-26,Cost-Reimbursement Contract,CAN,TX
TRX00122,Bentley LLC,4300176.76,NASA,2021-03-09,Fixed-Price Contract,USA,VA
TRX00123,Estrada-Lowery,3778979.18,NASA,2023-11-13,Fixed-Price Contract,MEX,CA
TRX00124,Ford-Harris,3984081.88,Department of Transportation,2022-05-17,Time-and-Materials Contract,CAN,NC
TRX00125,Tapia Ltd,4553641.68,Department of Health and Human Services,2021-05-04,Indefinite Delivery Contract,USA,NY
TRX00126,"Fowler, Patton and Thomas",490133.06,Department of Health and Human Services,2021-02-14,Cost-Reimbursement Contract,USA,FL
TRX00127,Garner Inc,4474832.88,Department of Education,2022-03-23,Fixed-Price Contract,USA,FL
TRX00128,"Murphy, Reyes and Alexander",474658.52,Department of Agriculture,2023-03-04,Cost-Reimbursement Contract,MEX,CA
TRX00129,Mason Group,719029.1,Department of Health and Human Services,2022-01-13,Indefinite Delivery Contract,MEX,OH
TRX00130,"Randall, Jacobs and Powell",3381109.37,Department of Transportation,2022-08-27,Time-and-Materials Contract,CAN,NY
TRX00131,Bright PLC,2349079.24,Department of Transportation,2021-05-29,Time-and-Materials Contract,USA,NY
TRX00132,Moore Ltd,3836464.49,Department of Defense,2021-01-25,Fixed-Price Contract,MEX,NY
TRX00133,Nolan and Sons,1997308.87,Department of Defense,2021-08-31,Indefinite Delivery Contract,MEX,MI
TRX00134,Grant-Floyd,145846.63,Department of Agriculture,2021-04-27,Cost-Reimbursement Contract,MEX,OH
TRX00135,Underwood-Abbott,1608491.22,Department of Education,2021-07-08,Indefinite Delivery Contract,USA,GA
TRX00136,Hickman-Schneider,1256172.88,Department of Agriculture,2024-02-25,Fixed-Price Contract,USA,VA
TRX00137,"Black, Cook and Robinson",2354704.13,Department of Energy,2023-08-21,Fixed-Price Contract,MEX,MI
TRX00138,"Lee, Harmon and Perkins",4358314.4,Department of Agriculture,2023-09-05,Indefinite Delivery Contract,MEX,VA
TRX00139,Jones-Thompson,4411933.65,Department of Health and Human Services,2022-08-25,Time-and-Materials Contract,USA,NC
TRX00140,Weber-Brooks,2575610.72,Department of Defense,2021-07-02,Cost-Reimbursement Contract,MEX,NC
TRX00141,"Johnson, Russo and Snyder",1151537.74,Department of Defense,2023-07-09,Indefinite Delivery Contract,CAN,PA
TRX00142,Nelson-Armstrong,3132890.0,Department of Education,2023-01-22,Time-and-Materials Contract,MEX,OH
TRX00143,Tucker Group,2482154.25,NASA,2021-05-17,Indefinite Delivery Contract,CAN,OH
TRX00144,"Reynolds, Perez and Warren",2436657.12,NASA,2022-03-17,Indefinite Delivery Contract,CAN,NY
TRX00145,Nichols-Matthews,2756353.76,Department of Health and Human Services,2023-06-28,Indefinite Delivery Contract,MEX,MI
TRX00146,"Shelton, Zimmerman and Kidd",1077449.85,Department of Transportation,2024-01-11,Indefinite Delivery Contract,CAN,PA
TRX00147,Vasquez-Foster,2254178.31,Department of Agriculture,2022-04-11,Fixed-Price Contract,USA,CA
TRX00148,Martinez-Barnes,4915605.91,Department of Energy,2023-04-11,Time-and-Materials Contract,MEX,PA
TRX00149,Santiago LLC,2978116.85,Department of Transportation,2021-08-01,Cost-Reimbursement Contract,MEX,PA
TRX00150,"Reynolds, Pope and Keith",996514.81,Department of Health and Human Services,2022-06-29,Fixed-Price Contract,USA,PA
TRX00151,Rivers-Morales,3452545.42,Department of Defense,2021-03-13,Indefinite Delivery Contract,MEX,OH
TRX00152,Garcia Group,4151172.75,NASA,2023-12-01,Fixed-Price Contract,USA,PA
TRX00153,"King, Hernandez and Duncan",4581040.6,Department of Health and Human Services,2021-08-25,Time-and-Materials Contract,MEX,CA
TRX00154,Anderson PLC,2181398.38,Department of Defense,2022-07-24,Time-and-Materials Contract,CAN,NC
TRX00155,Kim PLC,3919763.86,Department of Energy,2023-07-26,Time-and-Materials Contract,USA,VA
TRX00156,"Nicholson, Cervantes and Carter",4053493.04,Department of Defense,2023-12-07,Cost-Reimbursement Contract,MEX,FL
TRX00157,"Thompson, Montoya and Medina",460529.39,Department of Education,2024-01-17,Indefinite Delivery Contract,MEX,OH
TRX00158,Lee Inc,2275794.84,Department of Agriculture,2022-07-31,Time-and-Materials Contract,USA,OH
TRX00159,Jordan-Cooper,769412.54,Department of Health and Human Services,2021-09-20,Fixed-Price Contract,USA,PA
TRX00160,Brown-Brown,1399291.39,Department of Defense,2024-02-03,Fixed-Price Contract,MEX,OH
TRX00161,Williams-Mcbride,1103268.38,Department of Defense,2022-01-13,Cost-Reimbursement Contract,MEX,MI
TRX00162,Ellis-Bowman,906384.86,Department of Education,2021-02-06,Cost-Reimbursement Contract,MEX,TX
TRX00163,"Hall, Leonard and Mcguire",691602.45,NASA,2023-08-11,Cost-Reimbursement Contract,CAN,PA
TRX00164,Bennett-Robinson,2946581.74,Department of Energy,2022-10-05,Cost-Reimbursement Contract,USA,FL
TRX00165,"Davis, Murphy and Rivera",4498736.31,Department of Education,2021-04-30,Time-and-Materials Contract,CAN,GA
TRX00166,Jones Inc,3609568.99,Department of Transportation,2022-08-12,Indefinite Delivery Contract,USA,NC
TRX00167,Johnson-Elliott,2518487.45,Department of Agriculture,2021-04-20,Fixed-Price Contract,USA,PA
TRX00168,Hampton-Jackson,1898125.65,Department of Defense,2021-08-17,Cost-Reimbursement Contract,USA,CA
TRX00169,Daniel-Wilcox,462846.01,NASA,2022-06-17,Time-and-Materials Contract,CAN,NC
TRX00170,Mcpherson-Clark,1914756.97,Department of Agriculture,2023-08-02,Time-and-Materials Contract,CAN,CA
TRX00171,Harvey-Lambert,4603888.5,Department of Health and Human Services,2022-12-16,Fixed-Price Contract,USA,FL
TRX00172,Taylor LLC,990324.98,Department of Defense,2023-12-21,Cost-Reimbursement Contract,MEX,OH
TRX00173,"Vaughan, Williams and Payne",318433.97,Department of Energy,2023-12-23,Cost-Reimbursement Contract,CAN,MI
TRX00174,Nelson-Nguyen,1245065.17,Department of Transportation,2022-10-01,Indefinite Delivery Contract,USA,CA
TRX00175,Jenkins-Smith,2520857.55,NASA,2024-03-26,Indefinite Delivery Contract,USA,TX
TRX00176,Hicks Ltd,2612933.55,Department of Defense,2021-04-12,Cost-Reimbursement Contract,MEX,FL
TRX00177,Hall-Miller,2231394.34,Department of Agriculture,2023-05-14,Fixed-Price Contract,USA,NC
TRX00178,"Weeks, Howell and Miles",646993.61,Department of Education,2022-08-29,Time-and-Materials Contract,USA,NC
TRX00179,"Kennedy, Cline and Byrd",3581205.65,Department of Education,2022-02-12,Cost-Reimbursement Contract,MEX,MI
TRX00180,Combs Ltd,3707639.56,NASA,2022-06-02,Cost-Reimbursement Contract,MEX,FL
TRX00181,"Fowler, Erickson and Maynard",4830313.86,Department of Transportation,2022-03-01,Indefinite Delivery Contract,USA,OH
TRX00182,"Mitchell, Jennings and Padilla",2790324.23,Department of Agriculture,2021-07-29,Cost-Reimbursement Contract,USA,MI
TRX00183,Garcia Group,1736164.85,NASA,2021-02-12,Indefinite Delivery Contract,CAN,VA
TRX00184,"Howard, Mitchell and Green",92835.25,Department of Agriculture,2024-01-20,Cost-Reimbursement Contract,CAN,VA
TRX00185,"Morris, Bailey and Fox",70662.89,Department of Agriculture,2021-08-27,Fixed-Price Contract,MEX,NY
TRX00186,Green Ltd,190175.23,Department of Education,2021-02-17,Fixed-Price Contract,USA,NY
TRX00187,Garcia-Knight,4731521.81,NASA,2022-07-31,Time-and-Materials Contract,USA,PA
TRX00188,Vasquez-Green,2580493.97,Department of Defense,2022-02-21,Fixed-Price Contract,CAN,OH
TRX00189,"Powers, Colon and Woodard",1771733.11,Department of Transportation,2024-01-24,Time-and-Materials Contract,USA,GA
TRX00190,Ward Ltd,402095.03,NASA,2022-08-03,Cost-Reimbursement Contract,USA,TX
TRX00191,"Osborne, Bradley and Patterson",1396301.04,Department of Energy,2022-07-11,Fixed-Price Contract,MEX,FL
TRX00192,Carson LLC,1056416.66,Department of Health and Human Services,2022-01-24,Time-and-Materials Contract,CAN,GA
TRX00193,Wolf Inc,3155693.99,Department of Health and Human Services,2023-09-09,Cost-Reimbursement Contract,MEX,MI
TRX00194,Kirk Group,2195366.04,NASA,2023-08-01,Fixed-Price Contract,CAN,FL
TRX00195,"Martinez, Taylor and Hale",3723076.91,Department of Education,2022-01-30,Time-and-Materials Contract,CAN,CA
TRX00196,"Stevens, Alexander and Green",2505065.07,Department of Transportation,2023-07-22,Time-and-Materials Contract,USA,CA
TRX00197,Velasquez PLC,2245486.68,Department of Defense,2023-02-21,Cost-Reimbursement Contract,USA,OH
TRX00198,"Terrell, Mercado and Smith",665103.6,NASA,2023-08-27,Fixed-Price Contract,CAN,OH
TRX00199,"Warren, Kennedy and Duran",3530753.24,Department of Transportation,2021-08-13,Indefinite Delivery Contract,CAN,VA
TRX00200,"Rhodes, Hall and Franklin",3792805.49,Department of Health and Human Services,2023-02-08,Fixed-Price Contract,CAN,CA
TRX00201,Reeves-Diaz,2401229.79,Department of Defense,2022-07-13,Indefinite Delivery Contract,CAN,CA
TRX00202,"Smith, Neal and Kennedy",221687.5,Department of Defense,2023-04-17,Time-and-Materials Contract,MEX,TX
TRX00203,"Maldonado, Green and Rice",1480926.38,Department of Defense,2022-08-24,Time-and-Materials Contract,USA,CA
TRX00204,Chapman Ltd,3342630.08,Department of Health and Human Services,2023-09-16,Indefinite Delivery Contract,MEX,OH
TRX00205,"Morales, Garcia and Johnson",4782162.49,Department of Energy,2021-10-12,Indefinite Delivery Contract,USA,NC
TRX00206,Murphy and Sons,3786712.55,Department of Health and Human Services,2023-10-17,Fixed-Price Contract,CAN,NC
TRX00207,"Krause, Waters and Bell",2414704.34,Department of Transportation,2022-07-06,Time-and-Materials Contract,MEX,NC
TRX00208,Thompson and Sons,3164298.5,Department of Agriculture,2023-07-19,Indefinite Delivery Contract,USA,FL
TRX00209,Webb LLC,961705.04,NASA,2021-02-06,Cost-Reimbursement Contract,CAN,CA
TRX00210,Vega Group,4910676.36,Department of Education,2021-02-28,Indefinite Delivery Contract,USA,OH
TRX00211,Reid PLC,760642.18,Department of Transportation,2022-03-28,Indefinite Delivery Contract,MEX,CA
TRX00212,Freeman Group,1812541.34,NASA,2023-05-11,Indefinite Delivery Contract,MEX,PA
TRX00213,Weiss-Cox,1036741.37,Department of Agriculture,2022-10-22,Cost-Reimbursement Contract,MEX,FL
TRX00214,Sullivan-Allen,2241511.85,Department of Energy,2021-08-01,Fixed-Price Contract,USA,GA
TRX00215,Simpson Ltd,4665435.34,Department of Transportation,2022-02-24,Time-and-Materials Contract,CAN,NY
TRX00216,"Sullivan, Turner and Guzman",936633.83,Department of Health and Human Services,2021-12-02,Cost-Reimbursement Contract,USA,GA
TRX00217,Perez-Cervantes,3571288.21,Department of Energy,2021-01-24,Fixed-Price Contract,USA,PA
TRX00218,Hinton-Cameron,4117364.44,Department of Agriculture,2023-07-10,Time-and-Materials Contract,USA,NY
TRX00219,Owens and Sons,664685.22,Department of Transportation,2024-02-27,Indefinite Delivery Contract,CAN,NC
TRX00220,"Gilbert, Ray and Madden",1182067.75,Department of Education,2021-04-23,Indefinite Delivery Contract,USA,FL
TRX00221,"King, Johnson and Miller",633869.54,Department of Agriculture,2022-09-18,Time-and-Materials Contract,USA,GA
TRX00222,"Bailey, Burch and Rojas",1914549.64,Department of Energy,2023-07-15,Indefinite Delivery Contract,USA,MI
TRX00223,Hall PLC,1024832.29,Department of Education,2022-04-11,Fixed-Price Contract,USA,MI
TRX00224,Edwards-Holland,1677387.27,Department of Education,2024-01-23,Indefinite Delivery Contract,MEX,GA
TRX00225,Spencer and Sons,4393850.52,NASA,2023-08-25,Fixed-Price Contract,USA,TX
TRX00226,"Jones, Morales and Mcneil",1752838.25,NASA,2023-08-30,Indefinite Delivery Contract,CAN,NC
TRX00227,Peterson-Glover,1073062.02,Department of Transportation,2022-12-17,Indefinite Delivery Contract,MEX,TX
TRX00228,"Carey, Rodriguez and Decker",1592925.83,Department of Agriculture,2024-01-25,Indefinite Delivery Contract,MEX,MI
TRX00229,"Wilkinson, Meyers and Sanchez",2344221.21,NASA,2021-11-13,Time-and-Materials Contract,USA,TX
TRX00230,"Newman, Riddle and Nguyen",3849782.58,Department of Transportation,2022-08-30,Fixed-Price Contract,CAN,OH
TRX00231,Ramirez-Edwards,2176429.74,Department of Energy,2024-03-16,Fixed-Price Contract,CAN,TX
TRX00232,"Banks, Miller and Foster",1826183.98,Department of Agriculture,2023-09-16,Cost-Reimbursement Contract,USA,MI
TRX00233,Hall Group,2121017.98,Department of Agriculture,2023-04-24,Time-and-Materials Contract,USA,FL
TRX00234,"Davis, Todd and Hatfield",1988072.46,Department of Energy,2021-11-05,Cost-Reimbursement Contract,CAN,OH
TRX00235,"Reynolds, Reed and Stephens",288137.64,Department of Energy,2023-03-31,Indefinite Delivery Contract,USA,MI
TRX00236,"Ward, Holden and Keller",530693.44,NASA,2023-05-29,Indefinite Delivery Contract,CAN,FL
TRX00237,Reid-Salazar,362214.82,Department of Education,2023-08-28,Cost-Reimbursement Contract,USA,VA
TRX00238,Lloyd-Gill,3775535.39,Department of Energy,2022-09-14,Fixed-Price Contract,CAN,TX
TRX00239,Wells and Sons,364664.85,Department of Energy,2022-03-07,Time-and-Materials Contract,MEX,PA
TRX00240,Smith-Elliott,374923.9,Department of Education,2021-05-10,Fixed-Price Contract,USA,CA
TRX00241,Clark-Page,3230478.1,Department of Energy,2022-01-14,Fixed-Price Contract,CAN,OH
TRX00242,Williams-Wilson,852508.57,Department of Health and Human Services,2023-12-28,Time-and-Materials Contract,MEX,VA
TRX00243,Bryant LLC,4951062.71,Department of Agriculture,2021-06-04,Indefinite Delivery Contract,CAN,GA
TRX00244,"Cline, Martin and Robertson",3682964.42,Department of Transportation,2021-01-19,Time-and-Materials Contract,MEX,FL
TRX00245,Harding Inc,4694092.81,Department of Health and Human Services,2021-09-27,Time-and-Materials Contract,USA,MI
TRX00246,Richardson Ltd,436065.2,Department of Health and Human Services,2022-12-14,Cost-Reimbursement Contract,CAN,MI
